probIn scale
0.5212181 3.313568
0.5173173 3.370547
0.5423719 3.442865
0.5051124 3.645319
0.5147386 3.56112
0.5340997 3.526202
0.5729784 3.37534
0.5741354 3.286499
0.5756363 3.302565
0.5322519 3.266285
0.5339168 3.419672
0.482466 3.558561
0.5561527 3.496669
0.5487236 3.513354
0.5208623 3.425023
0.4950591 3.47671
0.5156933 3.671751
0.5265531 3.687107
0.5180743 3.514344
0.5223251 3.455731
0.5401667 3.528172
0.5402982 3.508781
0.5328067 3.58645
0.5207178 3.561342
0.4859659 3.227116
0.454343 3.331474
0.4286502 3.157339
0.4556323 3.270794
0.4444999 3.391078
0.4250275 3.345872
0.4644757 3.519469
0.4738111 3.390631
0.5089811 3.575281
0.539236 3.691481
0.499669 3.705339
0.490684 3.796675
0.4994186 3.768659
0.4975442 3.707562
0.4938904 3.720531
0.5035639 3.805704
0.5154534 3.697616
0.50002 3.730471
0.4530198 3.822985
0.4125055 4.033471
0.3471119 4.036557
0.3884735 3.834836
0.4507001 3.829432
0.4634198 3.656352
0.4776768 3.4599
0.4982302 3.415134
0.4988611 3.309969
0.5534556 3.355707
0.5097506 3.490123
0.5143357 3.476115
0.4736646 3.244846
0.4897173 3.176106
0.5233619 3.010575
0.4849844 2.883156
0.499434 2.998855
0.5373309 3.007152
0.5417447 3.133009
0.5744758 3.029261
0.5917454 2.925258
0.5748455 2.888945
0.5939979 2.793549
0.6183578 2.874761
0.6295695 2.825178
0.6629389 2.789523
0.6678462 2.643934
0.6352521 2.557242
0.6085742 2.577881
0.6153451 2.609217
0.5925813 2.525556
0.5927749 2.618756
0.6368495 2.618583
0.6247771 2.779272
0.6248295 2.794108
0.6218695 2.71417
0.6175353 2.700222
0.6432367 2.776862
0.6108076 2.660064
0.6599513 2.541583
0.6479183 2.514116
0.6292304 2.315722
0.6612473 2.436393
0.6886104 2.343337
0.6883033 2.345933
0.671782 2.278885
0.6612286 2.374304
0.6565561 2.338397
0.6362213 2.547374
0.6179933 2.413276
0.5576666 2.333586
0.5345918 2.207286
0.531431 2.291212
0.5720739 2.280295
